customer_state,islate,islate
AC,0,80
AC,1,3
AL,0,334
AL,1,87
AM,0,146
AM,1,4
AP,0,67
AP,1,2
BA,0,3126
BA,1,405
CE,0,1195
CE,1,181
DF,0,2047
DF,1,117
ES,0,1853
ES,1,211
GO,0,1950
GO,1,125
MA,0,623
MA,1,125
MG,0,11341
MG,1,518
MS,0,653
MS,1,69
MT,0,892
MT,1,52
PA,0,881
PA,1,102
PB,0,500
PB,1,54
PE,0,1542
PE,1,158
PI,0,445
PI,1,69
PR,0,4956
PR,1,198
RJ,0,11656
RJ,1,1519
RN,0,458
RN,1,54
RO,0,244
RO,1,7
RR,0,41
RR,1,5
RS,0,5255
RS,1,324
SC,0,3391
SC,1,290
SE,0,301
SE,1,50
SP,0,40906
SP,1,1829
TO,0,270
TO,1,27
